x,y_numerico,y_exacto,error_absoluto
0,0.5,0.5,0.00e+00
0.1,0.6574144444,0.657414541,9.65e-08
0.2,0.8292984222,0.8292986209,1.99e-07
0.3,1.0150702894,1.0150705962,3.07e-07
0.4,1.2140872305,1.2140876512,4.21e-07
0.5,1.425638824,1.4256393646,5.41e-07
0.6,1.6489399333,1.6489405998,6.67e-07
0.7,1.8831228479,1.8831236463,7.98e-07
0.8,2.1272285999,2.1272295358,9.36e-07
0.9,2.3801973656,2.3801984444,1.08e-06
1.0,2.6408578588,2.6408590858,1.23e-06
1.1,2.9079156083,2.907916988,1.38e-06
1.2,3.1799400022,3.1799415386,1.54e-06
1.3,3.4553499699,3.4553516662,1.70e-06
1.4,3.7323981585,3.7324000166,1.86e-06
1.5,4.0091534443,4.0091554648,2.02e-06
1.6,4.2834816057,4.2834837878,2.18e-06
1.7,4.5530239636,4.5530263041,2.34e-06
1.8,4.8151737741,4.8151762678,2.49e-06
1.9,5.0670501403,5.0670527789,2.64e-06
2.0,5.3054691789,5.3054719505,2.77e-06
